snippet,label,source
"import Foundation

func executeCommand(userInput: String) {
    let task = Process()
    task.launchPath = ""/bin/sh""
    task.arguments = [""-c"", ""echo \(userInput)""]
    
    let pipe = Pipe()
    task.standardOutput = pipe
    task.launch()
    
    let data = pipe.fileHandleForReading.readDataToEndOfFile()
    let output: String = String(data: data, encoding: .utf8)!
    print(output)
}

let userInput = ""Hello; echo 'Injected Command'""
executeCommand(userInput: userInput)",CWE-502_InsecureDeser,ayshajavd_hf_labeled_dataset
"import subprocess
import ast

def run_command(user_input):
    command = [""echo"", user_input]
    subprocess.run(command, check=True)

def run_eval(user_input):
    tree = ast.parse(user_input, mode='single')
    if len(tree.body) != 1 or not isinstance(tree.body[0], ast.Expr):
        raise ValueError('Not a single expression')
    eval(compile(tree.body[0], filename='', mode='single'))

while True:
    user_input = input(""Enter your command: "")
    try:
        run_command(user_input)
    except subprocess.CalledProcessError as e:
        print(""Error: "", e)
        try:
            run_eval(user_input)
        except Exception as e:
            print(""Eval Error: "", e)",Safe,ayshajavd_hf_labeled_dataset
"import subprocess

def execute_command(user_input):
    # Validate user input to prevent shell injection attacks
    if any(char in user_input for char in [';', '&', '|', '*', '?', '`', '$', '<', '>', '[', ']', '{', '}', '#', '^', '~']):
        print(""Invalid input"")
        return
    
    command = ['ls', user_input]
    try:
        # Use subprocess instead of os.system to avoid shell injection
        result = subprocess.run(command, capture_output=True, text=True, check=True)
        print(result.stdout)
    except subprocess.CalledProcessError as e:
        print(f""Command failed with error: {e}"")

user_input = input(""Enter your command: "")
execute_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"import ast

class RestrictedPython(ast.NodeTransformer):
    def visit_Call(self, node):
        if not (isinstance(node.func, ast.Name) and node.func.id in ['eval', 'exec']):
            raise ValueError('eval/exec calls are not allowed')
        return self.generic_visit(node)

def restricted_eval(code, mode='eval'):
    tree = compile(code, '<input>', mode)
    RestrictedPython().visit(tree)
    return eval(tree)

def run_user_input():
    user_input = input(""Enter some Python code: "")
    try:
        restricted_eval(user_input)
    except Exception as e:
        print(f""Invalid input: {e}"")

run_user_input()",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os

class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('malicious.pickle', 'wb') as f:
        pickle.dump(malicious, f)

serialize_exploit()",CWE-502_InsecureDeser,ayshajavd_hf_labeled_dataset
"import pickle
import os
import subprocess

class RCE:
    def __reduce__(self):
        return (subprocess.Popen, (['echo', 'You have been hacked'],))

data = pickle.dumps(RCE())
pickle.loads(data)",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

func processInput(input: String) -> String {
    let characters = Array(input)
    var result = """"
    for character in characters {
        result.append(character)
    } fulfilling: { try? $0.write(to: .utf8) }
    return result
}

let input = ""A"" * 1024 * 1024 * 1024 // 1GB of data
processInput(input: input)",Safe,ayshajavd_hf_labeled_dataset
"import sqlite3
from sqlite3 import Error

def fetch_user_data(username):
    try:
        conn = sqlite3.connect('my_database.db')
        cursor = conn.cursor()
        # Use parameterized query to avoid SQL injection
        cursor.execute(""SELECT * FROM users WHERE username=?"", (username,))
        user_data = cursor.fetchone()
        return user_data
    except Error as e:
        print(e)
    finally:
        if conn:
            conn.close() Hawk AI ✉️
✉️",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

struct MyStruct {
    var data: Int
}

var myInt = 10
var myStruct = MyStruct(data: myInt)

print(myStruct.data) // This will print 10

myStruct.data = 20

print(myStruct.data) // This will print 20

print(myInt) // This will print 10, but it should print 20 due to unsafeBitCast",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""math""
)

func main() {
	source := []int{1, 2, 3, 4, 5}
	destination := make([]int, int(math.Min(float64(len(source)), 3)))

	// Optimized code: Copying only the number of elements that the destination slice can hold
	copy(destination, source)

	fmt.Println(""Destination Slice: "", destination)
}",Safe,ayshajavd_hf_labeled_dataset
"require 'pg'

def search_user(username)
  conn = PGconn.connect(:dbname => 'test')
  res  = conn.exec(""SELECT * FROM users WHERE username = '#{username}'"")
  res.each do |row|
    puts row
  end
ensure
  conn.close if conn
end

search_user(""test' OR '1'='1"")",CWE-89_SQLi,ayshajavd_hf_labeled_dataset
"import Foundation

class MyClass {
    var closure: (() -> Void)?
    var timer: Timer?
    
    func startTimer() {
        self.timer = Timer.scheduledTimer(withTimeInterval: 1.0, repeats: true) { [weak self] timer in
            self?.closure = {
                print(""Timer fired"")
            }
        }
        
        RunLoop.current.run()
    }
    
    deinit {
        self.timer?.invalidate()
    }
}

let myClass = MyClass()
myClass.startTimer()",Safe,ayshajavd_hf_labeled_dataset
"def concatenate_strings(str1, str2):
    # Check if both inputs are strings
    if isinstance(str1, str) and isinstance(str2, str):
        return str1 + str2
    else:
        raise ValueError('Both inputs must be strings')

try:
    user_input = input(""Enter your string: "")
    print(concatenate_strings(user_input, ""appended-string""))
except Exception as e:
    print(""An error occurred: "", e)",Safe,ayshajavd_hf_labeled_dataset
"import subprocess

def execute_command(user_input):
    command = user_input
    process = subprocess.Popen(command, stdout=subprocess.PIPE, stderr=subprocess.PIPE, shell=True)
    output, error = process.communicate()
    print(output)

user_input = input(""Enter your command: "")
execute_command(user_input)",CWE-78_CmdInjection,ayshajavd_hf_cybernative_dpo
"package main

import (
	""fmt""
	""net/http""
	""os/exec""
)

func handler(w http.ResponseWriter, r *http.Request) {
	cmd := exec.Command(""echo"", r.URL.Path[1:])
	out, err := cmd.Output()
	if err != nil {
		fmt.Fprintf(w, ""Error: %s"", err)
	} else {
		fmt.Fprintf(w, ""Output: %s"", out)
	}
}

func main() {
	http.HandleFunc(""/"", handler)
	http.ListenAndServe("":8080"", nil)
}",CWE-89_SQLi,ayshajavd_hf_labeled_dataset
"def safe_function():
    user_input = input(""Enter some Python code: "")
    # Checking if the input contains any potentially harmful characters
    if any(char in user_input for char in ['import', 'os', 'sys', 'eval', 'exec', 'open', 'input']):
        print(""Sorry, this function does not support such operations."")
    else:
        try:
            # Evaluating the user input safely
            result = eval(user_input)
            print(""Result: "", result)
        except Exception as e:
            print(""An error occurred: "", str(e))

safe_function()",Safe,ayshajavd_hf_labeled_dataset
