snippet,label,source
"def get_user(username):
    query = ""SELECT * FROM users WHERE username = '"" + username + ""'""
    cursor.execute(query)
    return cursor.fetchone()",CWE-89_SQLi,synthetic
"def find_order(order_id):
    sql = f""SELECT * FROM orders WHERE id = {order_id}""
    return db.execute(sql).fetchall()",CWE-89_SQLi,synthetic
"def login(user, pwd):
    q = ""SELECT * FROM accounts WHERE user='%s' AND pwd='%s'"" % (user, pwd)
    cursor.execute(q)",CWE-89_SQLi,synthetic
"def search_products(term):
    query = ""SELECT * FROM products WHERE name LIKE '%"" + term + ""%'""
    cursor.execute(query)",CWE-89_SQLi,synthetic
"def delete_user(uid):
    cursor.execute(""DELETE FROM users WHERE id = "" + str(uid))",CWE-89_SQLi,synthetic
"def update_email(uid, email):
    cursor.execute(""UPDATE users SET email='{}' WHERE id={}"".format(email, uid))",CWE-89_SQLi,synthetic
"def get_comments(post_id):
    query = ""SELECT * FROM comments WHERE post_id="" + post_id
    return db.execute(query)",CWE-89_SQLi,synthetic
"def raw_filter(table, condition):
    return db.execute(f""SELECT * FROM {table} WHERE {condition}"")",CWE-89_SQLi,synthetic
"def ping_host(host):
    os.system(""ping -c 1 "" + host)",CWE-78_CmdInjection,synthetic
"def run_backup(filename):
    subprocess.call(""tar -cvf backup.tar "" + filename, shell=True)",CWE-78_CmdInjection,synthetic
"def convert_file(user_path):
    os.popen(""convert "" + user_path + "" out.png"")",CWE-78_CmdInjection,synthetic
"def resolve_dns(domain):
    result = os.system(f""nslookup {domain}"")
    return result",CWE-78_CmdInjection,synthetic
"def compress_dir(dirname):
    subprocess.Popen(""zip -r out.zip "" + dirname, shell=True)",CWE-78_CmdInjection,synthetic
"def run_script(script_name):
    os.system(""python3 "" + script_name)",CWE-78_CmdInjection,synthetic
"def user_grep(pattern, filename):
    subprocess.call(f""grep {pattern} {filename}"", shell=True)",CWE-78_CmdInjection,synthetic
"def cleanup(path):
    os.system(""rm -rf "" + path)",CWE-78_CmdInjection,synthetic
"def load_session(data):
    return pickle.loads(data)",CWE-502_InsecureDeser,synthetic
"def restore_state(raw_bytes):
    obj = pickle.load(open(raw_bytes, ""rb""))
    return obj",CWE-502_InsecureDeser,synthetic
"def parse_config(user_input):
    config = eval(user_input)
    return config",CWE-502_InsecureDeser,synthetic
"def load_cache(cache_str):
    return yaml.load(cache_str)",CWE-502_InsecureDeser,synthetic
"def execute_payload(data):
    exec(data)",CWE-502_InsecureDeser,synthetic
